Job_Role,Company,Location,Job Experience,Skills/Description
Senior Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",3-6,"python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics"
Senior Data Scientist,Walmart,Bangalore/Bengaluru,5-9,"Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow"
Applied Data Scientist / ML Senior Engineer (Python / SQL),SAP India Pvt.Ltd,Bangalore/Bengaluru,5-10,"Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP"
Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",1-4,"python, machine learning, Data Science, data analysis, aws, azure"
Data Scientist,Walmart,Bangalore/Bengaluru,4-8,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning"
Principal Data Scientist,Walmart,Bangalore/Bengaluru,7-12,"Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning"
Data Scientist,Walmart,Bangalore/Bengaluru,4-8,"Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics"
Expert Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",6-9,"team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science"
Data Scientist,Ericsson,Bangalore/Bengaluru,10-20,"Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence"
Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,Geakminds Technologies Private Limited,Chennai,5-9,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL"
Senior Data Scientist - Machine Learning,Global Employees,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Any Location",7-12,"Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source"
Data Scientist / Senior Data Scientist,Tredence Analytics Solutions Private Limited,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",2-7,"Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning"
Sr Data Scientist,Target,Bangalore/Bengaluru,2-7,"Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum"
Senior Data Scientist,Northface Consultancy Services Private Limited,Bangalore/Bengaluru(Whitefield),3-6,"database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS"
Senior Data Scientist,referral,Bangalore/Bengaluru,2-4,"Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval"
Lead Python Data Scientist,Micello India Pvt Ltd,Bangalore/Bengaluru,8-12,"CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS"
Senior Data Scientist Grade12,Flipkart,Bangalore/Bengaluru,5-10,"Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks"
Senior Data Scientist Grade12,Flipkart,Bangalore/Bengaluru,5-7,"data science, E-commerce, Statistics"
Sr. Analyst - Applied Data Scientist,Tesco,Bangalore/Bengaluru,3-5,"python, Tableau, Machine Learning, sql, Statistical Modeling, Adv Excel, Microstrategy, R shiny"
Data Scientist V,IGT India,Hyderabad/Secunderabad,1-6,"IT Skills, Python, Data Science, Machine Learning, Big Data, AWS, Azure, Computer science"
"Manager, Data Scientist/AI and Machine Learning Specialist",Pfizer,Chennai,2-3,"Computer science, data science, Neural networks, Pharma, Network analysis, Machine learning, Clinical trials, data visualization"
Digital-Process Manager-Data Scientist PM,eClerx,Pune,4-6,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, Data Analytics, Random Forest"
Associate Data Scientist,Eli Lilly and Company,Bangalore/Bengaluru,2-6,"data reporting, Analytical, Pharma, Healthcare, data integrity, HR, Troubleshooting, HPLC"
Senior Data Scientist,Revnomix Solutions LLP,"Mumbai, Pune, Mumbai (All Areas)",5-8,"python, django, java, MySQL, IT Skills, Data Science, Cloud, Javascript"
Senior Data Scientist,novo,Gurgaon/Gurugram,4-8,"Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL"
Junior Data Analyst/ Scientist- Fresher Position,Sejal Consulting Hub,Remote,0-3,"Data Analysis, C++, Data Visualization, Advanced Excel, Tableau, Python"
Sr. Clinical Data Programming Scientist,Accenture,Bangalore/Bengaluru,7-11,"SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials"
"Manager, Senior Clinical Data Scientist, Clinical Data Sciences",Pfizer,Chennai,4-8,"Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring"
Senior Data Scientist,Michelin,Pune,3-7,"Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data"
Digital-Senior Process Manager- Data Scientist SPM,eClerx,Pune,8-13,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics"
Data Scientist,MNR Solutions Pvt. Ltd.,"Pune, Bangalore/Bengaluru",5-10,"Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data"
Data Scientist - Machine learning AI,Teq Analytics,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8,"Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science"
DATA SCIENTIST,String Bio,Bangalore/Bengaluru,2-7,"Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence"
Principal Data Scientist - Digital Marketing,Target,Bangalore/Bengaluru,7-12,"Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source"
Manager Applied Data Scientist,Tesco Bengaluru,Bangalore/Bengaluru,3-6,"Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python"
Sr Data Scientist and Engineer,Sportism,Chennai,5-8,"machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau"
Data Scientist/ Sr Data Scientist,Connexions,Gurgaon/Gurugram,2-6,"Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R"
"Manager, Lead Data Scientist (R CoE)",Pfizer,Mumbai,6-8,"Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment"
Data Scientist (AVP & Manager Roles),Barclays Shared Services (BSS),Noida,3-8,"Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning"
Principal Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",12-16,"Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS"
Data Scientist,Genpact,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",5-8,"AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree"
Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,2-5,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration"
"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)",INOVARTECH PRIVATE LIMITED,Hyderabad/Secunderabad(Nanakramguda),7-12,"Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie"
VP-Data Scientist-AI/ML with Leading Investment Bank,SKILLVENTORY,Bangalore/Bengaluru,8-12,"Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning"
Senior Data Scientist,Walmart,Bangalore/Bengaluru,5-10,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks"
Cognitive/AI Senior Data Scientist,IBM,Bangalore/Bengaluru,4-8,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR"
Analyst - Applied Data Scientist,Tesco,Bangalore/Bengaluru,1-2,"python, Tableau, SQL"
