Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
White Hour Solutions,Hosting a blockchain code on to a cloud network in order to create a prototype app in the Healthcare sector,Software,SJ572,60,MedTech / BioTech / HealthTech
"Department of Space, Indian Space Research Organisation (ISRO).",Runtime remote video quality assessment,Software,SS584,5,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Video metadata generation & classification,Software,SS585,26,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",DISCOVER,Software,SS586,21,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",HERITAGE Identification of monuments using Deep Learning Techniques,Software,SS588,40,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Weather Forecast and its Visualization using Augmented Reality (AR): Mobile App,Software,SS589,48,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Pseudo height assignment to INSAT 3D/3DR Cloud data and its 3D visualization on Web,Software,SS590,3,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Deep Learning based Cyclone Intensity estimation using INSAT-3D IR imagery,Software,SS591,66,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Seamless indoor-outdoor navigation,Software,SS592,23,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).","Processing, visualization and application development of raw GNSS data on Android Smartphones",Software,SS593,6,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Multispectral satellite image dehazing,Software,SS594,19,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Android application for the imaging possibilities by an Earth observing satellite,Software,SS595,9,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Water Quality from Mobile captured and Google earth images,Software,SS596,53,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Flood inundation probability mapping,Software,SS597,24,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Natural Language search tool for Web GIS,Software,SS598,6,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Producing Super Resolution Digital Elevation Models from low resolution DEMs,Software,SS600,5,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Software toolset for storage browsing and permission based access to geospatial data using blockchain,Software,SS604,38,Blockchain & Cybersecurity
"Department of Space, Indian Space Research Organisation (ISRO).",Fully automated seamless on-the-fly mosaicking of satellite images,Software,SS607,7,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Visual Question and Answering with Satellite Images,Software,SS610,16,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Prediction of TEC variations with Artificial Intelligence using Space Weather Data as input,Software,SS612,10,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",High accuracy positioning on mobile or automotive NavIC/GNSS receivers for road lane navigation,Software,SS613,3,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Symbol Rate/Bandwidth Estimation,Software,SS614,6,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Real-Time Adaptive Speech Mixing and Audio-video synchronization,Software,SS615,3,Miscellaneous
MathWorks,Traffic Light Negotiation and Perception-Based Detection,Software,AG676,45,Smart Vehicles
All India Council for Technical Education (AICTE).,AI based Chatbot to answer FAQs,Software,DR702,125,Smart Automation
All India Council for Technical Education (AICTE).,Bulk email & SMS service,Software,DR703,56,Smart Education
All India Council for Technical Education (AICTE).,Energy Conservation with modern technology,Software,DR704,86,Renewable / Sustainable Energy
All India Council for Technical Education (AICTE).,Graphical Password Authentication,Software,DR705,125,Blockchain & Cybersecurity
All India Council for Technical Education (AICTE).,Network Traffic Analyzer,Software,DR706,56,Blockchain & Cybersecurity
All India Council for Technical Education (AICTE).,Software for easing government procurements,Software,DR707,37,Smart Automation
All India Council for Technical Education (AICTE).,AI based tool to get information about 5 good institutes based on AISHE,Software,DR708,33,Smart Education
All India Council for Technical Education (AICTE).,"AICTE Event/Activity (Workshops, Talks, FDP, Meeting etc) management system.",Software,DR709,54,Smart Education
All India Council for Technical Education (AICTE).,Career dendrogram,Software,DR710,61,Smart Education
All India Council for Technical Education (AICTE).,Lack of information about Academic Activities in single platform,Software,DR711,94,Smart Education
All India Council for Technical Education (AICTE).,Lack of sustainability in appointment of Faculty in Higher Educational Institutions and Colleges,Software,DR712,52,Smart Education
All India Council for Technical Education (AICTE).,Portal to know about various National and International scholarships,Software,DR713,125,Smart Education
All India Council for Technical Education (AICTE).,Prediction of Admission & Jobs in Engineering & Technology with respect to demographic locations,Software,DR714,40,Smart Education
All India Council for Technical Education (AICTE).,To develop in integrated and robust online platform for the researchers providing the information and relevant details about national/international research grants,Software,DR715,31,Smart Education
All India Council for Technical Education (AICTE).,Integrated information platform for information about Indian Universities,Software,DR716,91,Smart Education
All India Council for Technical Education (AICTE).,Integrated annual academic calendar for all the Indian universities,Software,DR717,28,Smart Education
All India Council for Technical Education (AICTE).,Online integrated platform for projects taken up by the students of various universities/colleges.,Software,DR718,81,Smart Education
All India Council for Technical Education (AICTE).,Inter-linked platform for Campus Placement in Higher educational Institutions of India,Software,DR719,72,Smart Education
All India Council for Technical Education (AICTE).,"Interlinked platform for School education, Higher education and Technical education in India",Software,DR720,30,Smart Education
All India Council for Technical Education (AICTE).,To develop a Mobile App for AICTE,Software,DR721,75,Smart Education
All India Council for Technical Education (AICTE).,Attractiveness and User Friendliness of AICTE Website,Software,DR722,33,Smart Education
All India Council for Technical Education (AICTE).,Centralized grievance system portal,Software,DR723,17,Smart Education
All India Council for Technical Education (AICTE).,AICTE TASK Management Mobile Application,Software,DR724,21,Smart Education
All India Council for Technical Education (AICTE).,Geotagging of all educational institutions integrated with virtual tour on Bharat Map so that any students/parents can visit any part of the country on map and take virtual tour along with facilities/courses available across the country.,Software,DR725,31,Smart Education
All India Council for Technical Education (AICTE).,One Point Student Verification through Mobile Application,Software,DR726,44,Smart Education
All India Council for Technical Education (AICTE).,One Point Student/Faculty Details Verification through Functional Application Software,Software,DR727,27,Smart Education
All India Council for Technical Education (AICTE).,Prediction of Admission & Jobs in Engineering & Technology /Management/Pharmacy with respect to demographic locations,Software,DR728,28,Smart Education
All India Council for Technical Education (AICTE).,Security Management System,Software,DR729,51,Smart Education
All India Council for Technical Education (AICTE).,Standard Course Curriculum Design for all the Universities across India,Software,DR730,18,Smart Education
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Mobile Application for Diet Recall,Software,DK731,77,MedTech / BioTech / HealthTech
