Organization,Problem Statement Title,Problem Statement Description,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
White Hour Solutions,Hosting a blockchain code on to a cloud network in order to create a prototype app in the Healthcare sector,"Hosting a blockchain code on to a cloud network in order to create a prototype app in the Healthcare sector. Problem Statement short description in a short paragraph Who we are - A young start-up in the Health Tech space. What we plan to achieve – Create a blockchain application to store and share patient records with Doctors and Health care intermediaries. Where we are currently – The team has built the code and UI/UX designs for the application, but we need help to host the program on a network and create a prototype. What we need – We need young professionals to help solve the hosting issue and build the prototype. White Hour Solutions (WHS) LLP., is a young start-up looking to provide a solution for patient to record, store and share their Personal Health Records (PHRs). The PHRs would be interoperable between the patient and other Healthcare intermediaries. We plan to do this by providing an application which can be used through mobile phones, computers or tablets. We are currently at the phase where we have the codes developed and the designs for the app, but need help with hosting it on the cloud and building the prototype. All support and assistance will be provided for the same.",Software,SJ572,60,MedTech / BioTech / HealthTech
"Department of Space, Indian Space Research Organisation (ISRO).",Runtime remote video quality assessment,"Interactive video communication over limited bandwidth channel and variable user end configuration has concern of video quality. Different VSAT terminals may have different computing resources i.e. RAM, graphics card, local network issues, not properly optimized VSAT setup affecting BER, Receive power etc. In situation like distributed video content delivery, video quality checks during runtime becomes problematic for having lack of reference video at remote or remote video as central transmitting end. The assessment of video quality across remote nodes distributed geographically this becomes challenging. Solution needs to be developed to assess the quality of captured videos at different remote VSAT terminals. Video for transmitting end and few remote receiving ends will be provided. The solution must not directly use both side videos to access quality. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS584,5,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Video metadata generation & classification,"Video documentaries of various ISRO missions and programs are available. To categorize the all-video programs, generation & verification of huge amount of metadata generation need to be done. With current Deep learning methods-based development in field of Computer vision and Natural Language Processing this task of video metadata generation is now days automated. Given Video programs, process for objects, text, speech recognition, Named Entity recognition etc. to classify the videos in different genres like launch programs, interviews, educational programs, outdoor shots, public shots, traffic etc. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS585,26,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",DISCOVER,"Discover the objects and features in the image using Explainable AI Techniques. Field Data is an incredible source of information to validate earth observation studies. Recently with the success of Convolution Neural Networks in Feature Extraction from Satellite Images, there is a need to standardize and generate training datasets. This Field Datasets will be of high value in terms of the research and development in Space Applications. It is felt that catalogue of field data and AI based solution to discover the objects or features will be a milestone during India’s Self Reliance Journey in Geospatial Sector. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS586,21,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",HERITAGE Identification of monuments using Deep Learning Techniques,"To identify the monuments from Satellite Images using Deep Learning and Integration of Interpretability for the predicted outcomes (Explainable AI). For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS588,40,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Weather Forecast and its Visualization using Augmented Reality (AR): Mobile App,"Utilization of AR technologies for effective distribution of weather forecast. AR to enhance information dissemination with better interactivity and user engagement. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS589,48,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Pseudo height assignment to INSAT 3D/3DR Cloud data and its 3D visualization on Web,"Background: The INSAT-3D/3DR spacecraft (parked at 82° East and 74° East respectively) carries two meteorological payloads: (i) IMAGER working from the visible to the infrared spectral bands (0.55 to 12.5 µm) and (ii) SOUNDER working in 18 IR (7 in LWIR,5 in MWIR,6 in SWIR) channels and one in Visible spectral range. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS590,3,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Deep Learning based Cyclone Intensity estimation using INSAT-3D IR imagery,"Development of a deep Convolutional Neural Network (CNN) for Tropical Cyclone intensity estimation using half-hourly INSAT-3D IR Images and development of a web application for visualization of the imagery. INSAT3D/3DR observations are available at every 15-minute interval and these observations are very useful in understanding the instantaneous structural changes during evolution, intensification, and landfall of Tropical Cyclones. Datasets of Cyclones captured by INSAT-3D over the Indian Oceans are available since 2014. These datasets can be used for training and testing of the Model. Traditional methods for Intensity estimation require accurate center determination for intensity estimation. Development of CNN based model for intensity estimation will be very useful during the initial stage of cyclone formation when determination of accurate center becomes difficult. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS591,66,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Seamless indoor-outdoor navigation,"One of the major uses of Navigation based application is Location-Based Services (LBS) which constitutes a significant portion of the navigation application usage. The availability of location-sensitive smartphones, with wireless broadband high-speed connections, has made low-cost applications available to a huge audience and there exists a lot of innovation in designing new type of technology and applications using these devices. Typically, it is seen that outdoor positioning is generally GPS/GNSS based. However, indoor positioning is generally based on WLAN technology. The primary reason is that GPS generally does not work for indoor applications. Uninterrupted good accuracy positioning needs thinking in the fusion of multiple technologies (Smart Phone Sensors, Wi-Fi, BLE beacons, GNSS, Dead Reckoning etc.) to deliver seamless out-door and indoor positioning experience. To design/develop new ideas and mobile app which makes use of these technologies (and even other signals of opportunity) to provide seamless indoor-outdoor positioning and provide innovative location-based services. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS592,23,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).","Processing, visualization and application development of raw GNSS data on Android Smartphones","These days almost every android smartphone includes a GNSS sensor. Increasingly this GNSS sensor supports hosts of GNSS constellation like GPS, Galileo, Beidou, Glonass, QZSS and NavIC. Until now, the smartphone GNSS chipsets were operating on single frequency at L1 only. However, some of the advanced smartphone chipsets now supports L5 band also. Along with this a major development has happened wherein the android has enabled access to raw GNSS data also. This opens up enormous opportunity to develop newer smartphone based GNSS applications enabling accuracy and integrity, which was not possible earlier. This problem statement deals with the processing and visualization of such raw GNSS observable from the android devices. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS593,6,Miscellaneous
